gregobase_id	Hudelmaier code
8208	ORIa
14469	ORIb
11319	ORIP2
11718	ORIP3a
13366	ORIP3b
14094	ORIP4a
14096	ORIP4b
14095	ORIP4c
14097	ORIP5
14098	ORIP6a
14104	ORIP6b
10103	ORIP6c
13355	ORIP7a
14099	ORIP7b
14106	A1F1I
14107	A1F2I
14108	A3F1I
14109	A3F2I
14110	A1H
14111	Q1I
8059	Q1H
14114	Q5I
14115	Q5H
14116	P1I
8122	P1H
14118	ORTDa
14119	ORTDb
14160	ORGP1
14161	ORGP2
14162	ORGP3
14163	ORGP4
14164	ORGP5
14165	ORGP6
14166	ORGP7
14167	ORGP8
14168	ORBDa
14169	ORBDb
14170	ORBDc
14171	ORBDd
14172	ORBDe
14173	ORBDf
14174	ORBDg
14175	ORBDh
14176	ORBDi
14177	ORBDj
14178	ORBDk
14179	ORBDl
14180	ORBDm
14181	ORAL1
14182	ORAL2
14183	ORAL3
8115	F1Iw
8116	7GF1I
8169	F1Hw
8170	F1Is
7906	F1Hs
14184	A1F1N1A1
8064	F1N1A1
8168	A1F1N1A2
8065	F1N1A2
14185	A1F1N1A3
8066	F1N1A3
14186	P1F1N1A
14188	A1F1N2A1
14189	F1N2A1
14190	A1F1N2A2
8068	F1N2A2
14191	A1F1N2A3
8069	F1N2A3
14192	P1F1N2A
14193	A1F1N3A1
8070	F1N3A1
14194	A1F1N3A2
8071	F1N3A2
14195	A1F1N3A3
8181	F1N3A3
14196	P1F1N3A
14197	F2I
14198	F2H
14199	F2N1A1
10065	P1F2N1A
8182	F2N1A2
14201	F2N1A3
8073	F2N2A1
10146	P1F2N2A
8074	F2N2A2
8075	F2N2A3
8183	F2N3A1
10155	P1F2N3A
14207	F2N3A2
8184	F2N3A3
14208	F3I
14209	F3H
8076	F3N1A1
10066	P1F3N1A
8077	F3N1A2
8078	F3N1A3
8088	F3N2A1
14322	P1F3N2A
8089	F3N2A2
8090	F3N2A3
8091	F3N3A1
14220	P1F3N3A
8092	F3N3A2
8060	F3N3A3
14212	F4I
14213	F4H
8186	F4N1A1
10067	P1F4N1A
8269	F4N1A2
8185	F4N1A3
8270	F4N2A1
14221	P1F4N2A
8271	F4N2A2
8272	F4N2A3
8273	F4N3A1
14222	P1F4N3A
8275	F4N3A2
14227	F4N3A3
8273	F4N4A1
8274	F4N4A2
8275	F4N4A3
14214	F5I
14215	F5H
8276	F5N1A1
10068	P1F5N1A
14228	F5N1A2
14229	F5N1A3
14230	F5N2A1
14231	P1F5N2A
14232	F5N2A2
14233	F5N2A3
14234	F5N3A1
14235	P1F5N3A
14236	F5N3A2
14237	F5N3A3
14216	F6I
14217	F6H
8277	F6N1A1
10069	P1F6N1A
8278	F6N1A2
8279	F6N1A3
14238	F6N2A1
14239	P1F6N2A
14240	F6N2A2
14241	F6N2A3
14242	F6N3A1
14243	P1F6N3A
14244	F6N3A2
14245	F6N3A3
14218	F7I
14219	F7H
8079	F7N1A1
10070	P1F7N1A
8080	F7N1A2
8081	F7N1A3
8093	F7N2A1
14246	P1F7N2A
8094	F7N2A2
8095	F7N2A3
8280	F7N3A1
14247	P1F7N3A
8281	F7N3A2
8282	F7N3A3
16449	A1N1R1
16450	A1N1R2
16451	A1N1R3
16452	A1N2R1
16453	A1N2R2
16454	A1N2R3
16455	A1N3R1
16456	A1N3R2
16457	A1N3R3
16458	A1F2R1
16459	A1F2R2
16460	A1F2R3
16461	A1F3R1
16462	A1F3R2
16463	A1F3R2b
16464	A1F3R3
16465	A1F4R1
16466	A1F4R2
16467	A2N1R1
16468	A2N1R2
16469	A2N1R3
16470	A2N2R1
16471	A2N2R2
16472	A2N2R3
16473	A2N3R1
16474	A2N3R2
16475	A2N3R3
16476	A3N1R1
16477	A3N1R2
16479	A3N1R3
16480	A3N2R1
16481	A3N2R2
16482	A3N2R3
16483	A3N3R1
16478	A3N3R2
16484	A3N3R3
16485	A3F4R1
8249	A3F4R2
16486	A3F4R3
16487	A3F5R1
16488	A3F5R2
16489	A3F5R3
16490	A3F6R1
16491	A3F6R2
16492	A3F6R3
16493	A3F7R1
16494	A3F7R2
	A3F7R3
16496	A4N1R1
16497	A4N1R2
16498	A4N1R3
16499	A4N2R1
16500	A4N2R2
16501	A4N2R3
16502	A4N3R1
16503	A4N3R2
16504	A4N3R3
16505	1224I
16506	1224R1
16507	1224R2
16508	1224R3
16509	1225I
16510	1225H
11407	1225N1A1
16511	1225N1A2
16512	1225N1A3
16519	1225N1R1
16520	1225N1R2
16521	1225N1R3
16513	1225N2A1
16514	1225N2A2
16515	1225N2A3
16522	1225N2R1
16523	1225N2R2
16524	1225N2R3
16516	1225N3A1
16517	1225N3A2
16518	1225N3A3
16525	1225N3R1
16526	1225N3R2
16527	1226I
16528	1226N1R1
16529	1226N1R2
16530	1226N1R3
16531	1226N2R1
16532	1226N2R2
16533	1226N2R3
16534	1226N3R1
16535	1226N3R2
16536	1227N1R1
16537	1227N1R2
16538	1227N1R3
16539	1227N2R1
16540	1227N2R2
